Id,Price
4567,158195.65674243608
5925,160377.4442650194
960,143460.33307978246
3848,124338.90564048117
746,274361.1857502228
868,331803.5709279884
672,123661.65653865582
2471,206299.77365312682
4510,132626.42660201478
8354,187022.64320261564
6393,170434.60994235598
13270,234877.46571112852
5250,270122.53053567593
16751,286785.77802936215
11404,158264.3309078693
10588,353729.89118438726
14925,201118.8833502297
6791,214626.4838746716
16097,175353.99867462867
16428,388327.78371261555
6945,351986.84161857906
3190,191116.5807740796
15709,440904.9123029623
13155,167621.76543815318
7675,202256.82060201347
14686,240352.54614819595
609,164233.88324548196
11155,165642.83243953125
10869,194578.00913282463
15742,189500.29943415485
9245,197247.54136769127
3340,189119.82880498635
2359,292834.2568474453
8070,196368.84067864247
13707,129621.11126515522
16079,255785.3324520223
15937,292457.46731240477
14090,201525.32684791426
9008,211317.61399037373
16384,168581.5318826154
11657,251585.21929964953
13151,206253.3858670898
8990,176916.36997430908
11857,182486.4258488726
1565,140878.69808429366
8174,110241.7172868444
9247,253378.44096358208
10478,199986.91118185842
15509,151170.67048172097
8306,216420.17394210762
6642,191796.3780821061
7472,262662.6577205403
15989,155935.86963923677
13682,135426.624569623
163,264840.0877208817
7076,196954.33794173002
7478,351172.0959102245
3029,184608.37525688374
1814,159538.8247099561
10057,125220.20920176718
15100,192458.86791525155
12694,200790.21045197864
6291,186698.2167287107
12603,183221.83458340657
3218,240460.54781768468
13456,123350.17519126112
10170,246124.53186321422
4530,169014.51324536733
13329,158309.40513061662
4820,156170.78933969376
10896,168876.00462337548
13416,119191.90817168
2701,206576.17298610628
11265,345091.9016827411
9189,275979.9374622631
1858,199549.0643601686
14536,238221.86014149472
6199,291896.6274059649
14730,146873.37316119732
7510,240107.72434236683
15505,153996.51878888218
7446,194854.74597621066
14016,195816.65137081282
14113,111067.10535775119
8721,298788.89098671713
6193,310625.889615951
5717,182884.29851634285
5427,323478.2594082829
9520,549198.189137848
6869,101177.575735027
1658,148737.1238812916
6639,208078.98067807316
6283,199631.78174740664
6257,126526.30148148072
15235,171943.44736688767
902,240869.24832159968
8932,197404.0735584755
16469,325022.2123613142
2825,272517.925308551
6450,442459.0334224895
11366,175123.54547240367
3801,320357.80848752055
11385,199584.80812871832
1079,196539.97511825524
3202,294921.0150018946
676,221925.5495674373
6185,291194.8691618321
7730,166096.7223100898
2573,174210.63875376733
10978,205389.6146389279
10962,256803.3276854786
8870,210283.55884950774
8496,183234.16570580372
5517,165467.9554015122
927,183894.54339280698
13675,195680.56910232556
1499,210599.0299523661
15536,304114.6765381593
8602,316500.0572857215
12137,426856.33781128045
9865,227915.35545089177
16353,275801.6357812559
15908,220507.85032070123
3944,186692.48448987587
10359,199449.57375799108
15158,239696.63757345424
3259,247144.12810782075
7220,327256.80219737894
13843,210344.8620695045
16736,184307.9371275373
702,260115.09714156098
16401,101684.65097349671
12134,180918.95414620772
6918,217158.20686378336
11792,124532.96028854568
3798,166795.61067471636
10395,131252.86961968403
11099,145196.5224637456
7090,193418.89296945924
11260,190766.73177700827
9647,217839.149651576
2903,402239.8840386815
2071,189062.49749761814
8604,209421.61705602915
9346,224230.14384424544
3945,208477.3527062766
3420,116817.63515281836
10842,126470.44518002885
725,157012.69065496023
13931,192044.3433377617
16330,247696.65659422675
9066,408968.1866758914
3326,304665.86658887734
1556,272522.27286234073
6579,99805.54586029823
13877,140185.64796290518
9857,356824.0956452793
7302,238206.3085991335
5684,188508.56259788387
6513,216264.20969593863
11342,114791.50291126885
16561,251880.50547519393
6885,177791.01716187125
9308,181095.2739691024
2559,184741.1099141628
6648,178164.4533491297
15260,170330.58325085006
5113,197806.65017319334
16492,195573.7323429264
12034,284635.0540086524
7248,209092.3712438068
2171,218684.74291380492
10594,176084.6368517347
13241,198107.5712462331
7032,148055.1320945276
4884,164492.5167995355
903,231299.3232398805
162,166469.91396607284
6566,252465.61552622647
8249,150103.8173091053
13106,199409.92150991337
